session_id,target
1,1.5631447659971035e-07
2,7.425039093602573e-10
3,5.687584599622234e-14
4,8.601536686537956e-20
5,2.8314318111027896e-10
6,5.838945406163703e-10
7,1.5995338717548088e-10
8,9.472508504800549e-07
9,4.018757197572266e-06
10,3.229999599362622e-06
11,1.0375338700566282e-06
12,1.6019176670349965e-09
13,4.096814336293056e-08
14,0.02140307513356715
15,4.382230787603466e-08
16,6.300383640048634e-06
17,4.885426324161977e-05
18,2.0699174675270274e-11
19,2.0577462086525953e-07
20,8.881979105009463e-09
21,3.290349772231445e-05
22,5.508968762216597e-12
23,1.2066600950652497e-07
24,4.623771825517524e-05
25,3.294663356772278e-05
26,1.3025167492721144e-17
27,1.9034705228559082e-08
28,2.147177574072188e-08
29,0.0007615355332430177
30,1.3438590930402115e-07
31,0.0037480631419212706
32,0.03351679376648702
33,4.871810185022651e-08
34,3.409368140209179e-11
35,0.0004510838123028212
36,7.794153634361411e-07
37,7.481236034718872e-17
38,2.737354467443288e-12
39,1.2180489059174419e-08
40,6.592310343734044e-12
41,2.8047200912719735e-06
42,4.248363960025741e-08
43,3.5779687301070666e-10
44,4.039573097191714e-09
45,0.8591917937037764
46,1.86137100523775e-08
47,2.2884947314253014e-06
48,2.0867587159185256e-07
49,1.8156413958320619e-09
50,1.1676284751343647e-09
51,1.0601778869344498e-15
52,1.4671991150466924e-08
53,0.019416065001276198
54,1.810129005445963e-11
55,2.082375034958477e-08
56,2.832540504629427e-06
57,6.264963755828316e-08
58,1.6127223464281763e-11
59,2.3627852468074994e-07
60,2.2467825914317063e-09
61,4.489637551298042e-11
62,4.6250724208564014e-06
63,8.700725441282752e-14
64,7.701876651119665e-07
65,1.1557732956655788e-07
66,1.1042649260804412e-09
67,7.46876197327197e-06
68,3.362908597535791e-05
69,0.0034026500276871288
70,1.1951920293127236e-10
71,4.331325382178528e-06
72,2.3747047356669353e-06
73,1.6260546757609958e-05
74,1.9733745352746536e-09
75,2.647240738438459e-10
76,3.4426892312272864e-08
77,3.482505479240082e-06
78,4.502597047054703e-05
79,4.629143990540352e-10
80,1.2158851503306916e-06
81,6.258147316305964e-11
82,5.3854602428942415e-08
83,2.0124860698028142e-09
84,0.7084618677010546
85,1.2988113969841321e-08
86,6.721728158138897e-08
87,2.6624614046229487e-05
88,5.236403093629232e-10
89,1.5894344494486607e-07
90,3.9021180247703724e-05
91,2.2669911744192098e-06
92,4.977052659192138e-11
93,0.0023050004408344594
94,1.9185147683842405e-06
95,3.914436231403055e-05
96,8.43347953671828e-11
97,8.732770339285393e-06
98,7.480326095788849e-10
99,1.0327072343774279e-12
100,8.675438068904993e-05
101,4.4591477277058967e-08
102,0.00012052505958426168
103,3.5317962084605774e-07
104,1.820270212905255e-06
105,1.193977061247394e-09
106,1.8080436517761863e-08
107,1.8519877999560178e-06
108,4.64516595312181e-09
109,1.1903641294698691e-12
110,6.053378436378689e-09
111,1.1500051593829551e-10
112,4.550136252960126e-09
113,1.7349723255536293e-07
114,7.656099083331804e-10
115,3.1339964480380803e-07
116,4.264372358182079e-06
117,1.2188055173297003e-06
118,1.570093435170194e-09
119,7.069991361738364e-07
120,1.0379507708623935e-07
121,9.855746851418642e-11
122,8.330090934977735e-10
123,6.864260465537975e-08
124,9.861351520965103e-10
125,2.982219081158773e-06
126,4.1031969151606385e-11
127,1.1359931371084716e-12
128,2.2968129984140946e-06
129,2.2629186945942972e-09
130,7.903060980926647e-07
131,4.2575781023112233e-07
132,9.009662280678459e-10
133,6.485694244909514e-06
134,7.931994282847576e-15
135,7.2366989643111516e-09
136,1.783213311753325e-07
137,7.1349929672869086e-06
138,8.647668152675355e-08
139,8.080863190625617e-11
140,4.138672689374875e-08
141,1.2842321376877331e-12
142,1.84983487324406e-06
143,1.0698203136920508e-11
144,3.183222832344988e-06
145,7.662073419548224e-13
146,6.197298638286496e-07
147,3.0559446626564775e-09
148,1.7641899321347483e-05
149,6.761401157782679e-10
150,0.001186995065004907
151,3.634300245856898e-10
152,0.023878227275055352
153,2.629634370013099e-05
154,9.755866400731403e-05
155,0.0006805567676800631
156,2.7624203911052145e-11
157,4.0013689391534934e-11
158,1.5625651982612896e-07
159,1.3725886821222267e-08
160,1.8069925977456867e-09
161,5.205820945039241e-05
162,2.99859224783943e-06
163,2.626882235682244e-08
164,2.5383680512232685e-06
165,1.560635104254682e-14
166,5.84168442517883e-11
167,4.200016319521495e-06
168,5.684878006451721e-09
169,1.0629802381789704e-06
170,1.948656302363239e-06
171,1.3013251297094619e-07
172,3.3269480073475862e-09
173,3.851686440832059e-06
174,3.941767386002432e-12
175,0.7350161005671749
176,2.9706985350357305e-07
177,0.00032633340220479854
178,2.446909953272332e-09
179,4.088078430016863e-09
180,8.813692455248388e-06
181,1.6764438772427825e-08
182,5.875933040343606e-06
183,4.681756143246176e-10
184,7.287910740124136e-09
185,8.107960513793916e-09
186,5.448969441287948e-10
187,1.1230310625707125e-13
188,6.2583357211498855e-12
189,5.117031505663122e-06
190,5.241531610400176e-09
191,3.150903284870683e-08
192,3.271005191244452e-09
193,5.810006898371712e-05
194,5.962647819216681e-06
195,1.1123330288471945e-07
196,1.056312742354303e-11
197,1.7699604470981976e-10
198,3.132700665185732e-06
199,4.1562628452847195e-07
200,1.5136913454245281e-10
201,2.367994781162597e-07
202,0.003350046787082611
203,4.5917595316205935e-11
204,7.23844907473245e-06
205,0.00012215974392970697
206,7.853860890221242e-15
207,1.0838785682482294e-11
208,0.002001474736902634
209,5.853112366776806e-11
210,3.152589691519309e-07
211,2.710727950707644e-07
212,9.15181671594379e-05
213,2.8104906050698717e-11
214,0.0008591550307909794
215,2.4443333408473297e-06
216,0.0014299184701705725
217,0.18746316497470308
218,7.865526143257773e-06
219,2.8767350121074142e-05
220,1.5672415656192906e-09
221,3.8181957225674965e-11
222,2.4347232919059137e-06
223,0.011922948849358772
224,2.037538026889015e-06
225,9.690044113554706e-05
226,6.622520066133748e-07
227,4.794364836422411e-05
228,1.897929910325298e-08
229,9.344164886968067e-11
230,1.5440535328981988e-06
231,3.8655889812568524e-12
232,6.804516115313175e-13
233,5.376442830664312e-12
234,7.566595761921959e-07
235,5.641214956510926e-10
236,4.108206919641093e-07
237,4.45227615115371e-09
238,8.025604079972923e-11
